elec,year,USH_dist,HOU_dist,hstraight,n
2018-11-06,18,6,102,0.9484620642515379,7315
2018-11-06,18,6,109,0.7623469818488814,4738
2018-11-06,18,6,110,0.8743961352657005,414
2018-11-06,18,6,114,0.9090909090909091,11
2018-11-06,18,6,116,0.48656178302196,6102
2018-11-06,18,6,120,0.9405191059841385,2774
2018-11-06,18,7,60,0.9713596623454929,9951
2018-11-06,18,7,62,0.9650199117425465,9291
2018-11-06,18,7,63,0.9532805956258725,10745
2018-11-06,18,7,106,0.9511817347407068,17432
