elec,office,county,dist,jID,n_dr,open,row_id_R,row_id_D,cand_R,cand_D,incumbency_R,incumbency_D,hits_R,hits_D,money_R,money_D,Rmoneyadv,Rnewsadv
2010-11-02,CCD,Newberry,6,2010-11-02_CCD_Newberry_6,2,0,124,123,Gregory B Taylor,William D Waldrop,0,1,3,3,1500,310,1.5740939194542278,0
2010-11-02,JPR,Oconee,,2010-11-02_JPRB_Oconee,2,0,125,126,Kenny Johns,Sandra Burgess Orr,0,1,14,45,0,2415,-7.789868559054706,-1.120591195386885
2010-11-02,CCD,Pickens,1,2010-11-02_CCD_Pickens_1,2,1,127,128,Bill Reid,Jeffery S Martin,0,0,27,13,1935,3296,-0.5323889752352082,0.6931471805599454
2010-11-02,HOU,,78,2010-11-02_HOU_78,2,0,130,129,Joan Brady,Paige B George,1,0,156,16,65969.1,17761.97,1.3120856557617433,2.2230324612920915
2010-11-02,CCD,Richland,11,2010-11-02_CCD_Richland_11,2,0,131,132,Sheila Hemingway,Norman Jackson,0,1,22,322,200,4100,-3.0156812173329843,-2.6421581072935068
2010-11-02,HOU,,79,2010-11-02_HOU_79,2,1,134,133,Sheri Few,Mia Butler,0,0,80,51,64514.68,15196.88,1.4457523505920538,0.4432054360910116
2010-11-02,CCD,Saluda,1,2010-11-02_CCD_Saluda_1,2,1,136,135,Tillman Sauls,J Frank Daniel,,,0,3,650,1028.15,-0.4579788555964406,-1.3862943611198906
2010-11-02,HOU,,35,2010-11-02_HOU_35,2,1,137,138,Bill Chumley,Tom Davies,0,0,14,18,38307.47,14086.04,1.000415794790321,-0.2363887780642302
2010-11-02,CCD,Spartanburg,6,2010-11-02_CCD_Spartanburg_6,2,1,139,140,Roger A Nutt,JC Caldwell II,0,0,33,5,5322.56,7419.4400000000005,-0.33209610212302465,1.7346010553881066
2010-11-02,HOU,,37,2010-11-02_HOU_37,2,0,142,141,Steve Parker,Delores Frazer,1,0,88,6,3235.31,9320.43,-1.05788225851561,2.542726220676826
2010-11-02,HOU,,38,2010-11-02_HOU_38,2,0,143,144,Doug Brannon,John Lewis,1,0,64,343,58619.1,10466,1.7228501903109663,-1.6662543874777613
2010-11-02,HOU,,42,2010-11-02_HOU_42,2,0,146,145,Randall English,Mike Anthony,0,1,15,232,6250,22599.1,-1.2852128800975358,-2.678449731325919
2010-11-02,CCD,Union,4,2010-11-02_CCD_Union_4,2,0,148,147,Don Hyder,Ben Ivey,1,0,19,16,0,0,0,0.1625189294977747
2010-11-02,CCD,Union,1,2010-11-02_CCD_Union_1,2,0,150,149,David Gossett,Joan Little,0,1,11,25,0,0,0,-0.7731898882334818
2010-11-02,HOU,,47,2010-11-02_HOU_47,2,0,151,152,Tommy Pope,Herb Kirsh,0,1,135,230,61809.1,29610,0.7359208676136362,-0.5297628247857409
2010-11-02,HOU,,46,2010-11-02_HOU_46,2,0,153,154,Gary Simrill,Holly Ann Cooper,1,0,204,9,20849.1,4110,1.6236924364806367,3.0204248861443626
2010-11-02,HOU,,45,2010-11-02_HOU_45,2,0,155,156,Deborah A Long,Mary Bernsdorff,1,0,237,56,52090.62,20792.03,0.9183862568965395,1.4292194058369248
2010-11-02,CCD,York,4,2010-11-02_CCD_York_4,2,1,158,157,Thomas Hardin,William Bump Roddey,0,0,11,111,3200.05,10483.17,-1.1863876195302936,-2.233592221507094
2012-11-06,PRS,,,2012-11-06_PRS,2,0,159,163,Mitt Romney,Barack Obama,0,1,8588,33384,,,,-1.357624382525744
2012-11-06,USH,,3,2012-11-06_USHOU_3,2,0,160,164,Jeff Duncan,Brian Ryan B Doyle,1,0,751,27,231016.18,550,6.038512549879906,3.290531813774636
2012-11-06,HOU,,11,2012-11-06_HOU_11,2,1,161,165,Craig Gagnon,Lee Garrett,0,0,6,36,17243,10895,0.459068507477733,-1.6650077635889111
2012-11-06,SEN,,10,2012-11-06_SEN_10,2,0,162,166,Jennings G McAbee,Floyd Nicholson,0,1,21,89,19434.04,74101.44,-1.3383708377903503,-1.408767216971949
2012-11-06,SHF,Abbeville,,2012-11-06_SHF_Abbeville,2,0,,167,,Charles H Goodwin,,1,,27,,2320.44,,
2012-11-06,JPR,Aiken,,2012-11-06_JPRB_Aiken,2,0,169,168,Jane Page Thompson,Sue H Roe,0,1,131,48,24875,15947.01,0.44456942668485766,0.9909816244757441
2012-11-06,SEN,,26,2012-11-06_SEN_26,2,0,171,170,Deedee Vaughters,Nikki Setzler,0,1,144,372,149669.42,253617.36,-0.52739494070814,-0.9448446772232417
2012-11-06,HOU,,91,2012-11-06_HOU_91,2,0,173,172,Ben Kinlaw,Lonnie Hosey,0,1,42,70,6174.96,33685.73,-1.696439655247568,-0.5014797613477531
2012-11-06,SEN,,45,2012-11-06_SEN_45,2,0,174,175,Leilani Bessinger,Clementa Pinckney,0,1,20,356,2904,6549.99,-0.8131827929601929,-2.8332133440562157
2012-11-06,HOU,,90,2012-11-06_HOU_90,2,0,176,177,Dan Lawrence,Bakari Sellers,0,1,11,444,250,23699.12,-4.547782451269759,-3.61316763237824
2012-11-06,USH,,1,2012-11-06_USHOU_1,2,0,178,179,Tim Scott,Bobbie Rose,1,0,1601,104,764039.92,86354,2.180154641145764,2.725047777470781
2012-11-06,HOU,,102,2012-11-06_HOU_102,2,0,180,181,Allan Weiss,Joe Jefferson,0,1,13,43,8275,30351.99,-1.2995352700678886,-1.1451323043030026
2012-11-06,HOU,,100,2012-11-06_HOU_100,2,0,182,,Edward L Southard,,1,,6,,34381.04,,,
2012-11-06,HOU,,,,,,,183,,Tonia Aiken-Taylor,,,,29,,,,
2012-11-06,AUD,Charleston,,,,,184,185,Paul S Gawrych,Peter J Tecklenburg,,,254,81,,,,1.1345442978941724
2012-11-06,SEN,,41,2012-11-06_SEN_41,2,0,186,187,Paul Thurmond,Paul Tinkler,1,0,820,196,199254,166342.78,0.18052880073591737,1.4273193807144393
2012-11-06,USH,,5,2012-11-06_USHOU_5,2,0,189,188,Mick Mulvaney,Joyce Knott,1,0,1274,106,219768.34,30724.49,1.9674859385438896,2.4778726231306205
2012-11-06,CCD,Cherokee,6,2012-11-06_CCD_Cherokee_6,2,0,190,191,Bobby E Mills,L Hoke Parris,0,1,9,64,0,150,-5.017279836814924,-1.871802176901591
2012-11-06,SEN,,17,2012-11-06_SEN_17,2,0,192,193,Bob Carrison,Creighton B Coleman,0,1,26,552,9757,68799.12,-1.9531180277301772,-3.019521135518006
2012-11-06,HOU,,41,2012-11-06_HOU_41,2,1,195,194,William Gray,MaryGail Douglas,0,0,84,32,11771.87,9108.08,0.25652601357296945,0.9461436950238364
2012-11-06,USH,,7,2012-11-06_USHOU_7,2,1,197,196,Tom Rice,Gloria Bromell Tinubu,0,0,591,243,1139393.31,474777.69,0.8754033135047301,0.8863384095908033
2012-11-06,CCD,Chesterfield,7,2012-11-06_CCD_Chesterfield_7,2,0,199,198,Donna M Johnson,Matt Rivers,0,1,26,56,950,1100,-0.14646007417728946,-0.7472144018302211
2012-11-06,SHF,Colleton,,2012-11-06_SHF_Colleton,2,1,201,200,Marshall Morehead,Andy Strickland,0,0,1,3,31125.499999999996,16710,0.6219923611734757,-0.6931471805599453
